[Roles]		
100001	厉苍天	
100002	厉苍天	
100003	厉苍龙
100004	厉苍龙	
100005	樊未离	
100006	樊未离	
100007	纳兰衍	
100008	凌香儿	
100009	任天翔	
100010	罗蛇君	
100011	姬无双	
100012	东方曦	
100013	宫夕瑶	
100014	东方未明	
100015	谷月轩	
100016	荆棘	
100017	无瑕子	
100018	玄冥子	
100019	老胡	
100020	萧潇	
100021	王蓉	
100022	贾云长	
100023	雷震天	
100024	赵惊风	
100025	赛飞鸿	
100026	醉仙	
100027	橘叟	
100028	神医	
100029	仙音	
100030	书生	
100031	丹青	
100032	花翁	
100033	沈澜	
100034	剑圣	
100035	沈湘芸	
100036	古实	
100037	方云华	
100038	卓人清	
100039	卓夫人	
100040	古叶	
100041	庄人骏	
100042	武当弟子	
100043	虚真	
100044	无因方丈	
100045	无色	
100046	无慧	
100047	无嗔	
100048	无戒	
100049	少林门人	
100050	少林门人	
100051	十八铜人	
100052	十八铜人	
100053	十八铜人	
100054	任清璇	
100055	赵雅儿	
100056	纪玟	
100057	秦红殇	
100058	蓝婷	
100059	史燕	
100060	齐丽	
100061	风吹雪	
100062	风吹雪	
100063	花	
100064	齐老	
100065	史刚	
100066	史义	
100067	黄娟	
100068	毒龙教众	
100069	毒龙教众	
100070	霹雳帮众	
100071	西门玄	
100072	西门峰	
100073	天剑门人	
100074	江天雄	
100075	江瑜	
100076	江府家丁	
100077	关长虹	
100078	关伟	
100079	长虹镖师	
100080	唐飞	
100081	唐冠南	
100082	唐中慧	
100083	唐门门人	
100084	夏侯城	
100085	夏侯非	
100086	绝刀门人	
100087	叶孤	
100088	商鹤鸣	
100089	商仲仁	
100090	八卦门人	
100091	杨云	
100092	傅剑寒	
100093	任浩然	
100094	任剑南	
100095	护剑使	
100096	巩光杰	
100097	百草门人	
100098	萧遥	
100099	柯降龙	
100100	李浩	
100101	丐帮长老	
100102	丐帮帮众	
100103	丐帮帮众	
100104	毒	
100105	浪	
100106	狂	
100107	焦大	
100108	焦小	
100109	黑无常	
100110	白无常	
100111	黑风寨众	
100112	郝虎	
100113	巴龙	
100114	戚将军	
100115	陈公公	
100116	东厂杀手	
100117	衙门官兵	
100118	何未峰	
100119	易兰	
100120	何秋娟	
100121	天山门人	
100122	紫阳子	
100123	青霞子	
100124	青城门人	
100125	曹萼华	
100126	吃	
100127	喝	
100128	嫖	
100129	赌	
100130	天龙教众	
100131	销魂	
100132	罗煞	
100133	修罗宫弟子	
100134	徐子易	
100135	徐子骐	
100136	仇霸	
100137	灵相	
100138	小沙弥	
100139	利空法王	
100140	西域番僧	
100141	熊天霸	
100142	海鲨帮众	
100143	金翅鸟	
100144	东瀛倭寇	
100145	东瀛浪人	
